Autohaus;Autohaus Klaus;86316, Friedberg, Bayern, Bayern, Metzstr. 15;(0821) 62239;info@fiat-klaus.de;http://www.fiat-klaus.de;Autohaus,Autowerkstatt,Dienstleistung,Handelsgesellschaft, Fiat-Service,Alfa Romeo-Fachwerksttten,Kfz-Werkstatt,Meisterhaft Autoreparatur,Autohuser,Opel-Werksttten,Fiat-Hndler
Autohandel;Autohaus Benkel GmbH & Co. KG Opel, Fiat Alfa Romeo, Fiat Professionell autorisierter Servicepartner;37688, Beverungen, Nordrhein-Westfalen, Blankenauer Str. 16;(05273) 36080;frank.drueke@benkel.de;http://www.benkel.de;Autohandel,Opel,Opel-Werkstatt,Nutzfahrzeug,Autowerkstatt,Gebrauchtwagen, 
Volvo;Erhard Kollinger Autohaus Alfa Romeo/Fiat;79108, Freiburg, Baden-Wrttemberg, Zinkmattenstr. 8;(0761) 50468-0;kollinger-freiburg@t-online.de;http://www.autohaus-engelhard.de;Volvo,Gebrauchtwagen,Autohandel,Autowerkstatt, Autohaus,Autoreparatur,Hauptuntersuchung,Jahreswagen,lwechsel
Fiat-Werkstatt;FIAT, alfa Romeo Inh. Wolfgang Take jun. Carservice;06366, Kthen, Sachsen-Anhalt, Langenfelder Str. 19;(03496) 5080-80;info@take-auto.de;https://take-auto.de;Fiat-Werkstatt,Alfa-Werkstatt,Autohandel,Autowerkstatt,Alfa,Gebrauchtwagen, Auspuffdienst,Auto-Klimaanlage desinfizieren,Autoglas-Reparatur und -Einbau,Autohaus,Autolackierung,Inspektion,Jahreswagen,lwechsel,Reifendienst,Tuning,Unfallreparatur,Wintercheck
Autohandel;Hanel GmbH, Frank Alfa Romeo KFZ-Ersatzteile;32683, Barntrup, Nordrhein-Westfalen, Hamelner Str. 36;(05263) 956210;info@ar-hanel.de;https://wpt.ar-hanel.de;Autohandel,Autowerkstatt,Alfa,Autoteil,Autozubehr,Gebrauchtwagen, Alfa Romeo
Alfa;MENKE AUTOMOBILE GMBH FIAT und Alfa Romeo Hndler;49393, Lohne, Niedersachsen, Dinklager Str. 114;(04442) 9295-0;service@menke.eu;https://www.menke.eu;Alfa,Autohandel,Autowerkstatt,Fiat,Gebrauchtwagen, Abschleppdienst,Achsvermessung,Auto-Aufbereitung,Autogas,Autohaus,Autolackierung,Autowsche,Ersatzfahrzeug,Getriebe Austausch,Hauptuntersuchung,Inspektion,Jahreswagen,Karosseriearbeiten,Reifendienst,Stodmpferservice,Unfallreparatur,Vertragswerkstatt,Wintercheck
Alfa;RKG Autohandel GmbH & Co.KG Alfa Romeo Verkauf Service;53229, Bonn, Nordrhein-Westfalen, Friedenstr. 51;(0228) 944982-0;andreas.miethke@rkg.de;http://www.rkg-autohandel.de;Alfa,Autohandel,Alfa-Werkstatt,Autowerkstatt,Gebrauchtwagen, 
Alfa;Alfa Romeo Schusterschitz GmbH Automobilverkauf;82194, Grbenzell, Bayern, Industriestr. 19;(08142) 447424;info@schusterschitz.de;http://www.schusterschitz.de;Alfa,Autohandel,Gebrauchtwagen,Autowerkstatt, Getriebe Austausch,Inspektion
Autohandel;Moscaritoli Michele Alfa Romeo KfZ-Technik;49419, Wagenfeld, Niedersachsen, Hauptstr. 74;(05444) 980979;info@moscaritoli.de;http://www.moscaritoli.de;Autohandel,Alfa,Autowerkstatt,Gebrauchtwagen, Getriebe Austausch,Hauptuntersuchung,Inspektion,Motorinstandsetzung,Stodmpferservice,Tuning
Autowerkstatt;ALFA ROMEO STELLANTIS &YOU BERLIN SEESENER STRAE;10709, Berlin, Berlin, Seesener Str. 60- 61;(030) 2359094592;;https://www.motorvillage-berlin.de/haendler/alfa-romeo/werkstatt?locationCode=00006606&bannerid=DL&source=WCOR;Autowerkstatt,Alfa,Autohandel, 
